name,weight_plf,A,Ht,B,tnom,tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C,b_tdes,h_tdes
HSS2X2X1/8,3.05,0.84,2.0,2.0,0.125,0.116,0.486,0.584,0.486,0.761,0.486,0.584,0.486,0.761,0.796,0.817,14.2,14.2
HSS2-1/4X2-1/4X1/8,3.48,0.956,2.25,2.25,0.125,0.116,0.712,0.755,0.633,0.863,0.712,0.755,0.633,0.863,1.15,1.05,16.4,16.4
HSS2-1/2X2-1/2X1/8,3.9,1.07,2.5,2.5,0.125,0.116,0.998,0.947,0.799,0.965,0.998,0.947,0.799,0.965,1.61,1.31,18.6,18.6
HSS2X2X3/16,4.32,1.19,2.0,2.0,0.1875,0.174,0.641,0.797,0.641,0.733,0.641,0.797,0.641,0.733,1.09,1.14,8.49,8.49
HSS3X3X1/8,4.75,1.3,3.0,3.0,0.125,0.116,1.78,1.4,1.19,1.17,1.78,1.4,1.19,1.17,2.84,1.92,22.9,22.9
HSS2-1/4X2-1/4X3/16,4.96,1.37,2.25,2.25,0.1875,0.174,0.953,1.04,0.847,0.835,0.953,1.04,0.847,0.835,1.6,1.48,9.93,9.93
HSS2X2X1/4,5.41,1.51,2.0,2.0,0.25,0.233,0.747,0.964,0.747,0.704,0.747,0.964,0.747,0.704,1.31,1.41,5.58,5.58
HSS2-1/2X2-1/2X3/16,5.59,1.54,2.5,2.5,0.1875,0.174,1.35,1.32,1.08,0.937,1.35,1.32,1.08,0.937,2.25,1.86,11.4,11.4
HSS3-1/2X3-1/2X1/8,5.61,1.54,3.5,3.5,0.125,0.116,2.9,1.93,1.66,1.37,2.9,1.93,1.66,1.37,4.58,2.65,27.2,27.2
HSS2-1/4X2-1/4X1/4,6.26,1.74,2.25,2.25,0.25,0.233,1.13,1.28,1.01,0.806,1.13,1.28,1.01,0.806,1.96,1.85,6.66,6.66
HSS4X4X1/8,6.46,1.77,4.0,4.0,0.125,0.116,4.4,2.56,2.2,1.58,4.4,2.56,2.2,1.58,6.91,3.49,31.5,31.5
HSS3X3X3/16,6.87,1.89,3.0,3.0,0.1875,0.174,2.46,1.97,1.64,1.14,2.46,1.97,1.64,1.14,4.03,2.76,14.2,14.2
