name,weight_plf,A,d,bf,tf,tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,bf_2tf,h_tw,rts,ho
W6X8.5,8.5,2.52,5.83,3.94,0.195,0.17,14.9,5.73,5.1,2.43,1.99,1.56,1.01,0.89,0.0333,15.8,10.1,29.1,1.0485579872889539,5.635
W6X9,9.0,2.68,5.9,3.94,0.215,0.17,16.4,6.23,5.56,2.47,2.2,1.72,1.11,0.905,0.0405,17.7,9.16,29.2,1.059403957636024,5.6850000000000005
W8X10,10.0,2.96,7.89,3.94,0.205,0.17,30.8,8.87,7.81,3.22,2.09,1.66,1.06,0.841,0.0426,30.9,9.61,40.5,1.0143799920129501,7.685
W10X12,12.0,3.54,9.87,3.96,0.21,0.19,53.8,12.6,10.9,3.9,2.18,1.74,1.1,0.785,0.0547,50.9,9.43,46.6,0.9830606670355674,9.659999999999998
W6X12,12.0,3.55,6.03,4.0,0.28,0.23,22.1,8.3,7.31,2.49,2.99,2.32,1.5,0.918,0.0903,24.7,7.14,21.6,1.0842597768834912,5.75
W8X13,13.0,3.84,7.99,4.0,0.255,0.23,39.6,11.4,9.91,3.21,2.73,2.15,1.37,0.843,0.0871,40.8,7.84,29.9,1.0319742843473125,7.735
W4X13,13.0,3.83,4.16,4.06,0.345,0.28,11.3,6.28,5.46,1.72,3.86,2.92,1.9,1.0,0.151,14.0,5.88,10.6,1.1603326524886888,3.8150000000000004
W12X14,14.0,4.16,11.9,3.97,0.225,0.2,88.6,17.4,14.9,4.62,2.36,1.9,1.19,0.753,0.0704,80.4,8.82,54.3,0.9614990926167305,11.675
W6X15,15.0,4.43,5.99,5.99,0.26,0.23,29.1,10.8,9.72,2.56,9.32,4.75,3.11,1.45,0.101,76.5,11.5,21.6,1.657433850608462,5.73
W10X15,15.0,4.41,9.99,4.0,0.27,0.23,68.9,16.0,13.8,3.95,2.89,2.3,1.45,0.81,0.104,68.3,7.41,38.5,1.0089975074927984,9.72
W8X15,15.0,4.44,8.11,4.02,0.315,0.245,48.0,13.6,11.8,3.29,3.41,2.67,1.7,0.876,0.137,51.8,6.37,28.1,1.0612801248164023,7.794999999999999
W6X16,16.0,4.74,6.28,4.03,0.405,0.26,32.1,11.7,10.2,2.6,4.43,3.39,2.2,0.967,0.223,38.2,4.98,19.1,1.1293191339199917,5.875
W12X16,16.0,4.71,12.0,3.99,0.265,0.22,103.0,20.1,17.1,4.67,2.82,2.26,1.41,0.773,0.103,96.9,7.53,49.4,0.9832074624550571,11.735
W5X16,16.0,4.71,5.01,5.0,0.36,0.24,21.4,9.63,8.55,2.13,7.51,4.58,3.0,1.26,0.192,40.6,6.94,15.4,1.429086232282674,4.6499999999999995
W10X17,17.0,4.99,10.1,4.01,0.33,0.24,81.9,18.7,16.2,4.05,3.56,2.8,1.78,0.845,0.156,85.1,6.08,36.9,1.0365431411658108,9.77
W8X18,18.0,5.26,8.14,5.25,0.33,0.23,61.9,17.0,15.2,3.43,7.97,4.66,3.04,1.23,0.172,122.0,7.95,29.9,1.4322958845125047,7.8100000000000005
W10X19,19.0,5.62,10.2,4.02,0.395,0.25,96.3,21.6,18.8,4.14,4.29,3.35,2.14,0.874,0.233,104.0,5.09,35.4,1.0599703892906907,9.805
W12X19,19.0,5.57,12.2,4.01,0.35,0.235,130.0,24.7,21.3,4.82,3.76,2.98,1.88,0.822,0.18,131.0,5.72,46.2,1.020763149973645,11.85
W5X19,19.0,5.56,5.15,5.03,0.43,0.27,26.3,11.6,10.2,2.17,9.13,5.53,3.63,1.28,0.316,50.9,5.85,13.7,1.453774524307884,4.720000000000001
W6X20,20.0,5.87,6.2,6.02,0.365,0.26,41.4,14.9,13.4,2.66,13.3,6.72,4.41,1.5,0.24,113.0,8.25,19.1,1.7009052511433873,5.835
